Country Name	Country Code	Series Name	Series Code	2015 [YR2015]
Belgium	BEL	Government Effectiveness: Estimate	GE.EST	1.438697577
Belgium	BEL	Control of Corruption: Estimate	CC.EST	1.573288798
Belgium	BEL	Regulatory Quality: Estimate	RQ.EST	1.287758946
Belgium	BEL	Rule of Law: Estimate	RL.EST	1.463508606
Belize	BLZ	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.043097582
Belize	BLZ	Government Effectiveness: Estimate	GE.EST	-0.684154153
Belize	BLZ	Control of Corruption: Estimate	CC.EST	-0.222508013
Belize	BLZ	Regulatory Quality: Estimate	RQ.EST	-0.46345076
Belize	BLZ	Rule of Law: Estimate	RL.EST	-0.720960438
Benin	BEN	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.013513958
Benin	BEN	Government Effectiveness: Estimate	GE.EST	-0.621204197
Benin	BEN	Control of Corruption: Estimate	CC.EST	-0.560777724
Benin	BEN	Regulatory Quality: Estimate	RQ.EST	-0.563028872
Benin	BEN	Rule of Law: Estimate	RL.EST	-0.535739422
Bermuda	BMU	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.983049035
Bermuda	BMU	Government Effectiveness: Estimate	GE.EST	1.00754571
Bermuda	BMU	Control of Corruption: Estimate	CC.EST	1.218488932
Bermuda	BMU	Regulatory Quality: Estimate	RQ.EST	0.912940443
Bermuda	BMU	Rule of Law: Estimate	RL.EST	0.883752644
Bhutan	BTN	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.974714994
Bhutan	BTN	Government Effectiveness: Estimate	GE.EST	0.40649128
Bhutan	BTN	Control of Corruption: Estimate	CC.EST	1.022311449
Bhutan	BTN	Regulatory Quality: Estimate	RQ.EST	-0.71343559
Bhutan	BTN	Rule of Law: Estimate	RL.EST	0.522356212
Bolivia	BOL	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.268487215
Bolivia	BOL	Government Effectiveness: Estimate	GE.EST	-0.651944339
Bolivia	BOL	Control of Corruption: Estimate	CC.EST	-0.696357191
Bolivia	BOL	Regulatory Quality: Estimate	RQ.EST	-0.885823071
Bolivia	BOL	Rule of Law: Estimate	RL.EST	-1.141066313
Bosnia and Herzegovina	BIH	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.402437001
Bosnia and Herzegovina	BIH	Government Effectiveness: Estimate	GE.EST	-0.545209169
Bosnia and Herzegovina	BIH	Control of Corruption: Estimate	CC.EST	-0.393897533
Bosnia and Herzegovina	BIH	Regulatory Quality: Estimate	RQ.EST	-0.195657492
Bosnia and Herzegovina	BIH	Rule of Law: Estimate	RL.EST	-0.281363338
Botswana	BWA	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	1.042091846
Botswana	BWA	Government Effectiveness: Estimate	GE.EST	0.497423857
Botswana	BWA	Control of Corruption: Estimate	CC.EST	0.849635243
Botswana	BWA	Regulatory Quality: Estimate	RQ.EST	0.438878596
Botswana	BWA	Rule of Law: Estimate	RL.EST	0.595487714
Brazil	BRA	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.331458092
Brazil	BRA	Government Effectiveness: Estimate	GE.EST	-0.183996126
Brazil	BRA	Control of Corruption: Estimate	CC.EST	-0.396478355
Brazil	BRA	Regulatory Quality: Estimate	RQ.EST	-0.19265525
Brazil	BRA	Rule of Law: Estimate	RL.EST	-0.147071302
Brunei Darussalam	BRN	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	1.242662311
Brunei Darussalam	BRN	Government Effectiveness: Estimate	GE.EST	1.060170531
Brunei Darussalam	BRN	Control of Corruption: Estimate	CC.EST	0.572453856
Brunei Darussalam	BRN	Regulatory Quality: Estimate	RQ.EST	0.852386951
Brunei Darussalam	BRN	Rule of Law: Estimate	RL.EST	0.407984078
Bulgaria	BGR	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.017322188
Bulgaria	BGR	Government Effectiveness: Estimate	GE.EST	0.208816484
Bulgaria	BGR	Control of Corruption: Estimate	CC.EST	-0.264636964
Bulgaria	BGR	Regulatory Quality: Estimate	RQ.EST	0.563768148
Bulgaria	BGR	Rule of Law: Estimate	RL.EST	-0.097000144
Burkina Faso	BFA	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.611107409
Burkina Faso	BFA	Government Effectiveness: Estimate	GE.EST	-0.586617649
Burkina Faso	BFA	Control of Corruption: Estimate	CC.EST	-0.283615232
Burkina Faso	BFA	Regulatory Quality: Estimate	RQ.EST	-0.371362418
Burkina Faso	BFA	Rule of Law: Estimate	RL.EST	-0.527029812
Burundi	BDI	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-1.939510822
Burundi	BDI	Government Effectiveness: Estimate	GE.EST	-1.159004688
Burundi	BDI	Control of Corruption: Estimate	CC.EST	-1.242423058
Burundi	BDI	Regulatory Quality: Estimate	RQ.EST	-0.71047318
Burundi	BDI	Rule of Law: Estimate	RL.EST	-1.166668534
Cabo Verde	CPV	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.867810428
Cabo Verde	CPV	Government Effectiveness: Estimate	GE.EST	0.147835761
Cabo Verde	CPV	Control of Corruption: Estimate	CC.EST	0.949543476
Cabo Verde	CPV	Regulatory Quality: Estimate	RQ.EST	-0.264603525
Cabo Verde	CPV	Rule of Law: Estimate	RL.EST	0.589895785
Cambodia	KHM	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.061942287
Cambodia	KHM	Government Effectiveness: Estimate	GE.EST	-0.699413061
Cambodia	KHM	Control of Corruption: Estimate	CC.EST	-1.117967606
Cambodia	KHM	Regulatory Quality: Estimate	RQ.EST	-0.525049269
Cambodia	KHM	Rule of Law: Estimate	RL.EST	-0.978473485
Cameroon	CMR	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.989607453
Cameroon	CMR	Government Effectiveness: Estimate	GE.EST	-0.773310483
Cameroon	CMR	Control of Corruption: Estimate	CC.EST	-1.074333429
Cameroon	CMR	Regulatory Quality: Estimate	RQ.EST	-0.917098641
Cameroon	CMR	Rule of Law: Estimate	RL.EST	-0.975390732
Canada	CAN	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	1.274697781
Canada	CAN	Government Effectiveness: Estimate	GE.EST	1.762370825
Canada	CAN	Control of Corruption: Estimate	CC.EST	1.88655889
Canada	CAN	Regulatory Quality: Estimate	RQ.EST	1.717661262
Canada	CAN	Rule of Law: Estimate	RL.EST	1.842076302
Cayman Islands	CYM	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	1.153417587
Cayman Islands	CYM	Government Effectiveness: Estimate	GE.EST	1.167015076
Cayman Islands	CYM	Control of Corruption: Estimate	CC.EST	1.019112229
Cayman Islands	CYM	Regulatory Quality: Estimate	RQ.EST	0.815154195
Cayman Islands	CYM	Rule of Law: Estimate	RL.EST	0.81687969
Central African Republic	CAF	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-1.904764652
Central African Republic	CAF	Government Effectiveness: Estimate	GE.EST	-1.784717083
Central African Republic	CAF	Control of Corruption: Estimate	CC.EST	-1.308037281
Central African Republic	CAF	Regulatory Quality: Estimate	RQ.EST	-1.439941168
Central African Republic	CAF	Rule of Law: Estimate	RL.EST	-1.684809923
Chad	TCD	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.974552572
Chad	TCD	Government Effectiveness: Estimate	GE.EST	-1.461070895
Chad	TCD	Control of Corruption: Estimate	CC.EST	-1.363942981
Chad	TCD	Regulatory Quality: Estimate	RQ.EST	-1.210751295
Chad	TCD	Rule of Law: Estimate	RL.EST	-1.183280706
Chile	CHL	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.433439225
Chile	CHL	Government Effectiveness: Estimate	GE.EST	1.086323857
Chile	CHL	Control of Corruption: Estimate	CC.EST	1.27995646
Chile	CHL	Regulatory Quality: Estimate	RQ.EST	1.345231652
Chile	CHL	Rule of Law: Estimate	RL.EST	1.344096303
China	CHN	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.550294638
China	CHN	Government Effectiveness: Estimate	GE.EST	0.408017337
China	CHN	Control of Corruption: Estimate	CC.EST	-0.282098532
China	CHN	Regulatory Quality: Estimate	RQ.EST	-0.289438725
China	CHN	Rule of Law: Estimate	RL.EST	-0.409794658
Colombia	COL	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-1.069146633
Colombia	COL	Government Effectiveness: Estimate	GE.EST	-0.036017831
Colombia	COL	Control of Corruption: Estimate	CC.EST	-0.29816556
Colombia	COL	Regulatory Quality: Estimate	RQ.EST	0.46542725
Colombia	COL	Rule of Law: Estimate	RL.EST	-0.268413424
Comoros	COM	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.232791469
Comoros	COM	Government Effectiveness: Estimate	GE.EST	-1.5220474
Comoros	COM	Control of Corruption: Estimate	CC.EST	-0.719098568
Comoros	COM	Regulatory Quality: Estimate	RQ.EST	-1.029054999
Comoros	COM	Rule of Law: Estimate	RL.EST	-0.815206766
"Congo, Dem. Rep."	COD	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-2.150854349
"Congo, Dem. Rep."	COD	Government Effectiveness: Estimate	GE.EST	-1.629252434
"Congo, Dem. Rep."	COD	Control of Corruption: Estimate	CC.EST	-1.285241485
"Congo, Dem. Rep."	COD	Regulatory Quality: Estimate	RQ.EST	-1.345490336
"Congo, Dem. Rep."	COD	Rule of Law: Estimate	RL.EST	-1.572552443
"Congo, Rep."	COG	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.526365995
"Congo, Rep."	COG	Government Effectiveness: Estimate	GE.EST	-1.022181392
"Congo, Rep."	COG	Control of Corruption: Estimate	CC.EST	-1.196016788
"Congo, Rep."	COG	Regulatory Quality: Estimate	RQ.EST	-1.195738792
"Congo, Rep."	COG	Rule of Law: Estimate	RL.EST	-1.078538775
Cook Islands	COK	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	..
Cook Islands	COK	Government Effectiveness: Estimate	GE.EST	..
Cook Islands	COK	Control of Corruption: Estimate	CC.EST	..
Cook Islands	COK	Regulatory Quality: Estimate	RQ.EST	..
Cook Islands	COK	Rule of Law: Estimate	RL.EST	..
Costa Rica	CRI	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.682025492
Costa Rica	CRI	Government Effectiveness: Estimate	GE.EST	0.37576279
Costa Rica	CRI	Control of Corruption: Estimate	CC.EST	0.748421431
Costa Rica	CRI	Regulatory Quality: Estimate	RQ.EST	0.525764585
Costa Rica	CRI	Rule of Law: Estimate	RL.EST	0.504753351
Cote d'Ivoire	CIV	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.832545936
Cote d'Ivoire	CIV	Government Effectiveness: Estimate	GE.EST	-0.681760728
Cote d'Ivoire	CIV	Control of Corruption: Estimate	CC.EST	-0.433069408
Cote d'Ivoire	CIV	Regulatory Quality: Estimate	RQ.EST	-0.504150987
Cote d'Ivoire	CIV	Rule of Law: Estimate	RL.EST	-0.62941426
Croatia	HRV	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.590728045
Croatia	HRV	Government Effectiveness: Estimate	GE.EST	0.51401335
Croatia	HRV	Control of Corruption: Estimate	CC.EST	0.245227292
Croatia	HRV	Regulatory Quality: Estimate	RQ.EST	0.364022464
Croatia	HRV	Rule of Law: Estimate	RL.EST	0.200360253
Cuba	CUB	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.644101679
Cuba	CUB	Government Effectiveness: Estimate	GE.EST	0.02187958
Cuba	CUB	Control of Corruption: Estimate	CC.EST	0.070488244
Cuba	CUB	Regulatory Quality: Estimate	RQ.EST	-1.223550439
Cuba	CUB	Rule of Law: Estimate	RL.EST	-0.701458991
Cyprus	CYP	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.550866485
Cyprus	CYP	Government Effectiveness: Estimate	GE.EST	1.048837423
Cyprus	CYP	Control of Corruption: Estimate	CC.EST	1.007434011
Cyprus	CYP	Regulatory Quality: Estimate	RQ.EST	1.062325358
Cyprus	CYP	Rule of Law: Estimate	RL.EST	1.039922118
Czech Republic	CZE	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.979189098
Czech Republic	CZE	Government Effectiveness: Estimate	GE.EST	1.046726942
Czech Republic	CZE	Control of Corruption: Estimate	CC.EST	0.433734417
Czech Republic	CZE	Regulatory Quality: Estimate	RQ.EST	1.098858237
Czech Republic	CZE	Rule of Law: Estimate	RL.EST	1.148100734
Denmark	DNK	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.897649825
Denmark	DNK	Government Effectiveness: Estimate	GE.EST	1.848226786
Denmark	DNK	Control of Corruption: Estimate	CC.EST	2.211048841
Denmark	DNK	Regulatory Quality: Estimate	RQ.EST	1.734574318
Denmark	DNK	Rule of Law: Estimate	RL.EST	2.042388916
Djibouti	DJI	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.443531573
Djibouti	DJI	Government Effectiveness: Estimate	GE.EST	-0.954309046
Djibouti	DJI	Control of Corruption: Estimate	CC.EST	-0.657611907
Djibouti	DJI	Regulatory Quality: Estimate	RQ.EST	-0.699164391
Djibouti	DJI	Rule of Law: Estimate	RL.EST	-0.922180951
Dominica	DMA	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	1.077941298
Dominica	DMA	Government Effectiveness: Estimate	GE.EST	0.117436104
Dominica	DMA	Control of Corruption: Estimate	CC.EST	0.623419344
Dominica	DMA	Regulatory Quality: Estimate	RQ.EST	0.232569695
Dominica	DMA	Rule of Law: Estimate	RL.EST	0.673474789
Dominican Republic	DOM	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.236706421
Dominican Republic	DOM	Government Effectiveness: Estimate	GE.EST	-0.357235849
Dominican Republic	DOM	Control of Corruption: Estimate	CC.EST	-0.818429589
Dominican Republic	DOM	Regulatory Quality: Estimate	RQ.EST	-0.037778012
Dominican Republic	DOM	Rule of Law: Estimate	RL.EST	-0.512686312
Ecuador	ECU	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.143955871
Ecuador	ECU	Government Effectiveness: Estimate	GE.EST	-0.442261696
Ecuador	ECU	Control of Corruption: Estimate	CC.EST	-0.67123884
Ecuador	ECU	Regulatory Quality: Estimate	RQ.EST	-1.157369137
Ecuador	ECU	Rule of Law: Estimate	RL.EST	-1.028905153
"Egypt, Arab Rep."	EGY	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-1.496645689
"Egypt, Arab Rep."	EGY	Government Effectiveness: Estimate	GE.EST	-0.75222075
"Egypt, Arab Rep."	EGY	Control of Corruption: Estimate	CC.EST	-0.642629683
"Egypt, Arab Rep."	EGY	Regulatory Quality: Estimate	RQ.EST	-0.835592747
"Egypt, Arab Rep."	EGY	Rule of Law: Estimate	RL.EST	-0.594087958
El Salvador	SLV	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.016997365
El Salvador	SLV	Government Effectiveness: Estimate	GE.EST	-0.235498786
El Salvador	SLV	Control of Corruption: Estimate	CC.EST	-0.423664808
El Salvador	SLV	Regulatory Quality: Estimate	RQ.EST	0.196322501
El Salvador	SLV	Rule of Law: Estimate	RL.EST	-0.585063934
Equatorial Guinea	GNQ	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.205352426
Equatorial Guinea	GNQ	Government Effectiveness: Estimate	GE.EST	-1.417881489
Equatorial Guinea	GNQ	Control of Corruption: Estimate	CC.EST	-1.765860438
Equatorial Guinea	GNQ	Regulatory Quality: Estimate	RQ.EST	-1.347725868
Equatorial Guinea	GNQ	Rule of Law: Estimate	RL.EST	-1.456297636
Eritrea	ERI	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.876751304
Eritrea	ERI	Government Effectiveness: Estimate	GE.EST	-1.59330833
Eritrea	ERI	Control of Corruption: Estimate	CC.EST	-1.301119447
Eritrea	ERI	Regulatory Quality: Estimate	RQ.EST	-2.108708858
Eritrea	ERI	Rule of Law: Estimate	RL.EST	-1.487505198
Estonia	EST	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.620919824
Estonia	EST	Government Effectiveness: Estimate	GE.EST	1.06819737
Estonia	EST	Control of Corruption: Estimate	CC.EST	1.293634295
Estonia	EST	Regulatory Quality: Estimate	RQ.EST	1.66903913
Estonia	EST	Rule of Law: Estimate	RL.EST	1.331923485
Ethiopia	ETH	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-1.498187423
Ethiopia	ETH	Government Effectiveness: Estimate	GE.EST	-0.646661103
Ethiopia	ETH	Control of Corruption: Estimate	CC.EST	-0.450164944
Ethiopia	ETH	Regulatory Quality: Estimate	RQ.EST	-1.031195641
Ethiopia	ETH	Rule of Law: Estimate	RL.EST	-0.509025514
Fiji	FJI	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.580308676
Fiji	FJI	Government Effectiveness: Estimate	GE.EST	-0.291203529
Fiji	FJI	Control of Corruption: Estimate	CC.EST	0.169921458
Fiji	FJI	Regulatory Quality: Estimate	RQ.EST	-0.362124681
Fiji	FJI	Rule of Law: Estimate	RL.EST	-0.404100507
Finland	FIN	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	1.040587306
Finland	FIN	Government Effectiveness: Estimate	GE.EST	1.813305736
Finland	FIN	Control of Corruption: Estimate	CC.EST	2.275295973
Finland	FIN	Regulatory Quality: Estimate	RQ.EST	1.836381435
Finland	FIN	Rule of Law: Estimate	RL.EST	2.063123703
France	FRA	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.106706373
France	FRA	Government Effectiveness: Estimate	GE.EST	1.437052965
France	FRA	Control of Corruption: Estimate	CC.EST	1.305651546
France	FRA	Regulatory Quality: Estimate	RQ.EST	1.129694223
France	FRA	Rule of Law: Estimate	RL.EST	1.41331923
French Guiana	GUF	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.568954766
French Guiana	GUF	Government Effectiveness: Estimate	GE.EST	1.122841358
French Guiana	GUF	Control of Corruption: Estimate	CC.EST	1.019112229
French Guiana	GUF	Regulatory Quality: Estimate	RQ.EST	1.449474812
French Guiana	GUF	Rule of Law: Estimate	RL.EST	1.295758367
Gabon	GAB	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.021186959
Gabon	GAB	Government Effectiveness: Estimate	GE.EST	-0.73356396
Gabon	GAB	Control of Corruption: Estimate	CC.EST	-0.714149475
Gabon	GAB	Regulatory Quality: Estimate	RQ.EST	-0.797161996
Gabon	GAB	Rule of Law: Estimate	RL.EST	-0.549935818
"Gambia, The"	GMB	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.019588569
"Gambia, The"	GMB	Government Effectiveness: Estimate	GE.EST	-0.903461635
"Gambia, The"	GMB	Control of Corruption: Estimate	CC.EST	-0.770209014
"Gambia, The"	GMB	Regulatory Quality: Estimate	RQ.EST	-0.508693397
"Gambia, The"	GMB	Rule of Law: Estimate	RL.EST	-0.721325636
Georgia	GEO	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.466081887
Georgia	GEO	Government Effectiveness: Estimate	GE.EST	0.404683113
Georgia	GEO	Control of Corruption: Estimate	CC.EST	0.679609179
Georgia	GEO	Regulatory Quality: Estimate	RQ.EST	0.9224599
Georgia	GEO	Rule of Law: Estimate	RL.EST	0.271524847
Germany	DEU	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	0.699824274
Germany	DEU	Government Effectiveness: Estimate	GE.EST	1.73711729
Germany	DEU	Control of Corruption: Estimate	CC.EST	1.837866783
Germany	DEU	Regulatory Quality: Estimate	RQ.EST	1.723077774
Germany	DEU	Rule of Law: Estimate	RL.EST	1.795013547
Ghana	GHA	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.032099333
Ghana	GHA	Government Effectiveness: Estimate	GE.EST	-0.251235664
Ghana	GHA	Control of Corruption: Estimate	CC.EST	-0.197833717
Ghana	GHA	Regulatory Quality: Estimate	RQ.EST	-0.031253885
Ghana	GHA	Rule of Law: Estimate	RL.EST	0.142052844
Greece	GRC	Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	-0.230252355
Greece	GRC	Government Effectiveness: Estimate	GE.EST	0.256199121
Greece	GRC	Control of Corruption: Estimate	CC.EST	-0.076607928
Greece	GRC	Regulatory Quality: Estimate	RQ.EST	0.409622997
Greece	GRC	Rule of Law: Estimate	RL.EST	0.267151922
