Data Source	World Development Indicators							
								
Last Updated Date	1/25/18							
								
Country Name	Country Code	Indicator Name	Indicator Code	2011	2012	2013	2014	2015
Early-demographic dividend	EAR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	13.89894648	13.6485035	13.42387117	13.21477904	13.16002989
East Asia & Pacific	EAS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	10.80295135	10.28498855	9.828367088	9.465963162	9.419824427
Europe & Central Asia (excluding high income)	ECA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	3.980411621	3.844722336	3.733406385	3.673796296	3.65370479
Europe & Central Asia	ECS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	3.184937836	3.123939131	3.072410241	3.04325858	3.033107711
Ecuador	ECU	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	11.7	11.5	11.7	11.9	12.1
"Egypt, Arab Rep."	EGY	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	4.5	4.4	4.4	4.4	4.5
Euro area	EMU	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.532913651	2.532455777	2.52828322	2.521416974	2.517107861
Eritrea	ERI	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Spain	ESP	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Estonia	EST	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.7	2.9	2.9	2.7	2.5
Ethiopia	ETH	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	31	30.2	29.4	28.5	28.8
European Union	EUU	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.565034755	2.55776092	2.546079565	2.53274431	2.524070158
Fragile and conflict affected situations	FCS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS		23.47342624	23.57511123	23.80500161	24.62765316
Finland	FIN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Fiji	FJI	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	4.5	4.4	4.4	4.5	4.6
France	FRA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Faroe Islands	FRO	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
"Micronesia, Fed. Sts."	FSM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Gabon	GAB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	8.6	7.9	7.3	7	7
United Kingdom	GBR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Georgia	GEO	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	8.4	8.2	7.5	6.7	7
Ghana	GHA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	5.6	6.1	6.5	6.8	7.6
Gibraltar	GIB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Guinea	GIN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	17.4	17.1	16.8	16.7	17.5
"Gambia, The"	GMB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	9	9.3	9.9	10.5	10.9
Guinea-Bissau	GNB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	22.7	23.4	25	26.8	28.3
Equatorial Guinea	GNQ	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Greece	GRC	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Grenada	GRD	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	25.5	25.4	25.3	25.4	25.5
Greenland	GRL	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Guatemala	GTM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	15.6	16.2	16.4	16.2	15.6
Guam	GUM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Guyana	GUY	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	11	10.1	9.4	8.9	8.5
High income	HIC	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.77061998	2.742673034	2.715374616	2.693879427	2.664546765
"Hong Kong SAR, China"	HKG	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Honduras	HND	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	15.5	15.6	15.7	15.8	14.8
Heavily indebted poor countries (HIPC)	HPC	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	25.10723491	24.88129488	24.78387372	24.77777239	25.39340743
Croatia	HRV	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.6	2.5	2.5	2.5	2.5
Haiti	HTI	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	49.6	49.6	49.4	48.2	46.8
Hungary	HUN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
IBRD only	IBD	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	10.74609919	10.43377966	10.14232079	9.880051429	9.751699318
IDA & IBRD total	IBT	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	12.68368642	12.49478073	12.26019183	12.08469367	12.08540118
IDA total	IDA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	19.68425148	19.64340683	19.51201782	19.53670725	19.87271361
IDA blend	IDB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	14.98798875	14.83595687	14.72949328	14.88838185	14.88002379
Indonesia	IDN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	10.1	8.6	7.6	7	7.9
IDA only	IDX	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	22.4374683	22.34278145	22.19996038	22.15176304	22.68419485
Isle of Man	IMN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
India	IND	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	15.5	15.4	15.2	14.9	14.5
Not classified	INX	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Ireland	IRL	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
"Iran, Islamic Rep."	IRN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	5.7	5.6	5.5	5.4	5.5
Iraq	IRQ	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	26.3	25.9	26	26.7	27.8
Iceland	ISL	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Israel	ISR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Italy	ITA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Jamaica	JAM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	9	9.2	9.5	9.2	8.4
Jordan	JOR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	3.6	3.7	3.9	4.2	4.2
Japan	JPN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Kazakhstan	KAZ	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.7	2.5	2.5	2.5	2.5
Kenya	KEN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	22.6	21.6	20.5	19.4	19.1
Kyrgyz Republic	KGZ	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	7.7	7.3	6.9	6.7	6.4
Cambodia	KHM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	18.6	18	17.1	16.1	15.3
Kiribati	KIR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	3.3	3.1	3.1	3.2	3.3
St. Kitts and Nevis	KNA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
"Korea, Rep."	KOR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Kuwait	KWT	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Latin America & Caribbean (excluding high income)	LAC	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	6.891931027	6.743489943	6.674127668	6.606093848	6.682892269
Lao PDR	LAO	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	19.2	18.3	17.4	17	17.1
Lebanon	LBN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	4.5	4.8	5.1	5.3	5.4
Liberia	LBR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	36.7	37.7	39.2	41.2	42.8
Libya	LBY	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
St. Lucia	LCA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	17.2	17.3	17.2	17	17
Latin America & Caribbean	LCN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	6.796476841	6.645404072	6.573490849	6.506595391	6.575607472
Least developed countries: UN classification	LDC	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	23.14219793	22.99616157	22.82682676	22.75697025	23.28918549
Low income	LIC	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	27.04719136	26.82654401	26.87715781	27.01598988	27.81301462
Liechtenstein	LIE	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Sri Lanka	LKA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	25.1	24.5	23.7	23	22.1
Lower middle income	LMC	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	14.35589888	14.22404393	13.92634087	13.6686245	13.52861125
Low & middle income	LMY	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	12.89155247	12.6987938	12.46069935	12.28118771	12.27987951
Lesotho	LSO	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	13.2	13.6	14.1	14.4	14.5
Late-demographic dividend	LTE	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	9.563075526	9.171338179	8.787705663	8.4629234	8.254805738
Lithuania	LTU	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Luxembourg	LUX	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Latvia	LVA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
"Macao SAR, China"	MAC	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	13.1	11.6	9.6	7.3	6.3
St. Martin (French part)	MAF	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Morocco	MAR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	5	4.6	4.3	4.1	3.5
Monaco	MCO	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Moldova	MDA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	11	8.8	7.8	8.1	8.5
Madagascar	MDG	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	31.9	33.3	35.5	39	42.3
Maldives	MDV	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	9.3	9.1	9	8.9	8.5
Middle East & North Africa	MEA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	8.322041196	8.071725444	7.978571016	8.028675285	8.371552183
Mexico	MEX	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	4.6	4.5	4.5	4.4	4.2
Marshall Islands	MHL	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Middle income	MIC	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	11.60848425	11.40800288	11.12401731	10.89480543	10.79689711
"Macedonia, FYR"	MKD	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	4.5	4.6	4.4	4.3	3.9
Mali	MLI	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	6.8	6.5	5.8	4.9	4
Malta	MLT	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Myanmar	MMR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	15.5	14.7	14.4	14.4	16.9
Middle East & North Africa (excluding high income)	MNA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	8.827214884	8.618521384	8.572638953	8.67396005	9.114472284
Montenegro	MNE	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Mongolia	MNG	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	19.6	18.8	18.3	18.3	19.6
Northern Mariana Islands	MNP	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Mozambique	MOZ	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	28.8	27.8	27.3	26.8	26.6
Mauritania	MRT	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	7.8	7.2	6.3	5.7	5.3
Mauritius	MUS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	5.1	5.4	5.4	5.2	5.2
Malawi	MWI	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	21.3	21.1	21.7	23.5	25.9
Malaysia	MYS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	3.5	3.3	3	2.6	2.5
North America	NAC	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.501809661	2.501857668	2.501868135	2.501839185	2.50188313
Namibia	NAM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	36.3	33.9	31.4	29.7	28.8
New Caledonia	NCL	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	7.5	7.4	7.8	8.4	9.1
Niger	NER	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	10.9	10.6	10.3	10	11.3
Nigeria	NGA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	6.4	6.5	6.7	7.3	7.9
Nicaragua	NIC	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	20	19	17.9	17.1	17
Netherlands	NLD	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Norway	NOR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Nepal	NPL	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	9.3	8.8	8.5	8.2	8.1
Nauru	NRU	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
New Zealand	NZL	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
OECD members	OED	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.729375679	2.718471165	2.717283247	2.70698668	2.686189944
Oman	OMN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	5.2	5.2	5.3	5.7	6.2
Other small states	OSS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	16.24150081	15.76106259	15.46268448	15.29732152	15.3765328
Pakistan	PAK	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	21	21	20.8	20.7	19.9
Panama	PAN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	11.9	10.7	9.9	9.5	9.3
Peru	PER	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	10.1	9	8.3	7.6	7.9
Philippines	PHL	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	13.9	14.3	14.4	14.3	13.8
Palau	PLW	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Papua New Guinea	PNG	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Poland	POL	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Pre-demographic dividend	PRE	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	19.41811216	19.55239006	19.5016013	19.68732042	20.3098211
Puerto Rico	PRI	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
"Korea, Dem. People’s Rep."	PRK	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	41.9	41.7	41.4	41	40.8
Portugal	PRT	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Paraguay	PRY	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	11.9	12	12.3	12.4	12
West Bank and Gaza	PSE	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Pacific island small states	PSS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	6.381414422	6.629004191	6.946702448	7.200934397	7.35789007
Post-demographic dividend	PST	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.528574343	2.52457733	2.519305741	2.51400589	2.510715692
French Polynesia	PYF	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	4.6	4.6	4.7	4.8	4.9
Qatar	QAT	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Romania	ROU	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Russian Federation	RUS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Rwanda	RWA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	33.3	33.6	35.6	38.5	41.1
South Asia	SAS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	16.34413804	16.25887939	16.05479842	15.78267129	15.29133836
Saudi Arabia	SAU	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	6.3	5.6	5.1	4.8	4.4
Sudan	SDN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS		25.9	25.8	25.7	25.6
Senegal	SEN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	12.8	12.5	12.1	11.6	11.3
Singapore	SGP	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Solomon Islands	SLB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	11.2	12.2	13.2	13.8	13.9
Sierra Leone	SLE	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	25.4	24.5	24.6	25.7	30.9
El Salvador	SLV	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	12.9	12.8	12.4	12.1	12.3
San Marino	SMR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Somalia	SOM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Serbia	SRB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	6	6	5.9	5.7	5.6
Sub-Saharan Africa (excluding high income)	SSA	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	19.30243094	19.36334803	19.30944914	19.4515441	20.15218567
South Sudan	SSD	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Sub-Saharan Africa	SSF	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	19.30243094	19.36334803	19.30944914	19.4515441	20.15218567
Small states	SST	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	14.04744763	13.68418253	13.46419957	13.29689202	13.2416719
Sao Tome and Principe	STP	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	15.9	15.4	14.2	13.2	13.5
Suriname	SUR	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	8.1	8.3	8.3	8.1	7.9
Slovak Republic	SVK	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	4.1	4	3.7	3.3	3.1
Slovenia	SVN	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Sweden	SWE	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	2.5	2.5	2.5	2.5	2.5
Swaziland	SWZ	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS	23.1	22.4	21.5	20.5	19.6
Sint Maarten (Dutch part)	SXM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
Seychelles	SYC	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS					
